Date,Tweets
2022-04-06 03:27:50+00:00,"['people', 'use', 'blueSG', 'portable', 'motel', 'help', 'dont', 'even', 'want', 'go', 'near', 'blueSG']"
2022-04-06 03:27:49+00:00,"['anyone', 'WA', 'wan', 'na', 'lend', 'car', 'D', '0', 'accident', 'record', 'v', 'clean', 'v', 'good', 'dw', 'pay', '17', 'day', 'rental', 'wan', 'na', 'use', 'car', 'random', 'days', 'car', 'sharing', 'perth', 'also', 'germaphobe', 'hear', 'people', 'use', 'blueSG']"
2022-04-06 03:23:26+00:00,"['BlueSG', 'car', 'spotted', 'Woodlands', 'Checkpoint', 'go', 'Johor', 'meh']"
2022-04-05 04:57:01+00:00,"['I', 'wouldnt', 'caught', 'dead', 'driving', 'bluesg']"
2022-04-04 08:28:44+00:00,"['yoongi', 'got', 'drivers', 'license', 'car', 'leh', 'bluesg', 'nnxf0x9fxa4xa7xf0x9fxa4xa7xf0x9fxa4xa7']"
2022-04-04 06:23:26+00:00,"['Aku', 'tak', 'suka', 'bluesg', 'bila', 'naik', 'upslope', 'Tak', 'ada', 'power', 'Hhaha']"
2022-04-03 17:46:20+00:00,"['bluesg', 'laju', 'sia', 'hahaha']"
2022-04-02 13:47:35+00:00,"['1JUL', 'oh', 'bluesg', 'guy', 'right', 'see']"
2022-04-02 04:53:18+00:00,"['I', 'wan', 'na', 'know', 'bluesg', 'person', 'feeding', 'minions', 'assxe2x80xa6very', 'freaky', 'stuff', 'happening']"
2022-03-28 15:37:31+00:00,"['BlueSG', 'Tutorial', 'xe2x80x93', 'Card', 'Pairing', 'xc2xa0Rental']"
2022-03-27 10:07:23+00:00,"['84820981', 'If', 'ignore', 'blue', 'SG', 'chargers', 'also', 'ignore', '700', 'BlueSG', 'EVs', 'doesnxe2x80x99t', 'dramatically', 'change', 'equation']"
2022-03-27 08:26:16+00:00,"['84820981', 'It', 'difficult', 'run', 'outxe2x9axa1', 'sg', 'Though', '22k', 'charging', 'points', 'misleading', 'Were', '700900', 'usable', 'public', 'onesnnBluesg', 'chargers', 'not', 'added', 'not', 'explicitly', 'say', '2200', 'public', 'charging', 'stations', 'nnEV', 'infra', 'explainedn']"
2022-03-24 01:28:05+00:00,"['time', 'sign', 'bluesg']"
2022-03-22 09:29:15+00:00,"['ATTENTION', 'TO', 'ALL', 'BLUESG', 'DRIVERS', 'know', 'time', 'money', 'youxe2x80x99re', 'driving', 'space', 'ship', 'please', 'donxe2x80x99t', 'endanger', 'others', 'youxe2x80x99re', 'road', 'xf0x9fx98xadxf0x9fx98xadxf0x9fx98xad']"
2022-03-21 15:27:15+00:00,"['know', 'bunch', 'cars', 'drive', 'past', 'obnoxious', 'volumewhat', 'bunch', 'bluesg', 'cars']"
2022-03-21 11:35:28+00:00,"['SG', 'Car', 'Enthusiast', 'reviews', 'thexc2xa0BlueSG']"
2022-03-21 04:11:03+00:00,"['5', 'Hours', 'With', 'The', 'BlueSG', 'Electric', 'Vehicle', 'EcoFriendly', 'Planet', 'MotherNature', 'MotherEarth', 'Responsible', 'Video', 'BlueSG', 'Singapores', 'largest', 'electric', 'carsharing', 'service', 'Launched', '2017', 'service', 'tons', 'vehicles', 'stations', 'located', 'acrossxe2x80xa6']"
2022-03-21 04:11:03+00:00,"['5', 'Hours', 'With', 'The', 'BlueSG', 'Electric', 'Vehicle', 'EcoFriendly', 'Planet', 'MotherNature', 'MotherEarth', 'Responsible', 'Video']"
2022-03-14 16:22:38+00:00,"['Wellxe2x80xa6', 'I', 'driving', 'Bluesg', 'stopped', 'traffic', 'light', 'I', 'listening', 'drumming', 'singing', 'Vanessa', 'Carltonxe2x80x99s', 'A', 'Thousand', 'Miles', 'A', 'police', 'car', 'stopped', 'right', 'beside', 'looked', 'right', 'judged', 'I', 'smiled', 'continued', 'drumming', 'HAHAHA']"
2022-03-14 04:55:31+00:00,"['New', 'BlueSG', 'Here', '5', 'BlueSGTips', 'forxc2xa0you']"
2022-03-13 09:59:47+00:00,"['Bluesg', 'LOL', 'SBS', 'SMART']"
2022-03-10 15:56:01+00:00,"['I', 'propose', 'legalise', 'street', 'racing', 'Singapore', 'want', 'race', 'must', 'drive', 'bluesg', 'car', 'Two', 'reasonsnn1', 'electric', 'car', 'better', 'enviromentnn2', 'The', 'car', 'damn', 'ugly', 'watching', 'people', 'race', 'would', 'look', 'funny']"
2022-03-08 10:02:28+00:00,"['More', 'bluesg', 'cars', 'plssssnnNearly', '2000', 'HDB', 'car', 'parks', 'least', '3', 'EV', 'charging', 'points', '2025']"
2022-03-07 15:22:15+00:00,"['stay', 'far', 'away', 'bluesg', 'car', 'Im', 'road', 'Even', 'valid', 'license']"
2022-03-07 05:05:34+00:00,"['BlueSG', 'stonks', 'moment']"
2022-03-07 04:48:46+00:00,"['Headline', 'dia', 'aku', 'confuse', 'dia', 'fail', 'BTT', 'sebab', 'poor', 'English', 'Mandarin', 'Is', 'Then', 'ape', 'kene', 'mengene', 'dgn', 'BlueSG']"
2022-03-07 04:29:43+00:00,"['xe2x80x9cMale', '21', 'rented', 'BlueSG', 'car', '49', 'times', 'without', 'valid', 'licensexe2x80x9d', 'That', 'would', 'enough', 'You', 'made', 'sound', 'rented', 'car', 'try', 'pass', 'Basic', 'Theory']"
2022-03-07 04:27:48+00:00,"['Spore', 'man', '21', 'rents', 'BlueSG', 'car', '49', 'times', 'failing', 'Basic', 'Theory', 'Test', '4', 'times', 'due', 'poor', 'English', 'Chinese', 'skills']"
2022-03-07 04:26:54+00:00,"['Banned', 'good', 'using', 'bluesg', 'car']"
2022-03-07 03:09:56+00:00,"['Spore', 'man', '21', 'rents', 'BlueSG', 'car', '49', 'times', 'failing', 'Basic', 'Theory', 'Test', '4', 'times', 'due', 'poor', 'English', 'Chinese', 'skills']"
2022-03-03 05:19:57+00:00,"['Became', 'bluesg', 'addict', 'lazy', 'ass', 'xf0x9fxa5xb2xf0x9fx92xb8xf0x9fx92xb8xf0x9fx92xb8xf0x9fx92xb8xf0x9fx92xb8']"
2022-03-02 11:25:37+00:00,"['BLUESG', 'USER', 'CLAIMS', 'THEIR', 'CUSTOMER', 'SERVICE', 'STANDARDS', 'HAVE', 'DROPPEDnSingapore', 'umbrage', 'spore', 'uncensoredn']"
2022-02-28 13:19:29+00:00,"['rent', 'bluesg', 'sponsor']"
2022-02-27 16:28:33+00:00,"['people', 'w', 'biggest', 'ego', 'issues', 'ones', 'race', 'cars', 'w', 'fuckin', 'bluesgnncontext', 'sped', 'past', 'audi', 'going', 'home', 'rev', 'engine', 'proceeds', 'take', 'ainxe2x80x99t', 'bout', 'u', 'bruh', 'ixe2x80x99m', 'fighting', '033min']"
2022-02-26 12:02:00+00:00,"['Yupp', 'Convenient', 'especially', 'u', 'right', 'ur', 'block', 'My', 'block', 'bluesg', 'getgo', 'shariot', 'But', 'come', 'weekend', 'semua', 'kosong', 'Hahahaha']"
2022-02-26 09:20:55+00:00,"['ohh', 'interesting', 'xf0x9fxa4x94', 'looking', 'fwd', 'check', 'exp', 'BlueSG', 'xf0x9fx98x86']"
