Date,Tweets
2022-04-06 03:27:50+00:00,b'people use blueSG here as portable motel help i dont even want to go near a blueSG..................'
2022-04-06 03:27:49+00:00,"b'anyone in WA wanna lend me car :D i have 0 accident record v clean v good, dw to pay for 17 day rental when i only wanna use the car for random days. is there car sharing in perth???? but i also germaphobe after i hear about how people use blueSG'"
2022-04-06 03:23:26+00:00,b'BlueSG car spotted in Woodlands Checkpoint - can go Johor meh? https://t.co/yzPDkLQxNq https://t.co/M6BPEk5GHY'
2022-04-05 04:57:01+00:00,"b""I wouldn't be caught dead driving a bluesg"""
2022-04-04 08:28:44+00:00,b'yoongi i got drivers license but no car leh.... bluesg can? \n\n\xf0\x9f\xa4\xa7\xf0\x9f\xa4\xa7\xf0\x9f\xa4\xa7 https://t.co/E7vs9CZF6x'
2022-04-04 06:23:26+00:00,b'@NoorFarhan Aku tak suka bluesg bila naik upslope. Tak ada power. Hhaha'
2022-04-03 17:46:20+00:00,b'@NoorFarhan bluesg laju sia hahaha'
2022-04-03 13:11:18+00:00,b'let me do a fancall with mark i need to tell him about my bluesg car ride incident!!!!'
2022-04-02 13:47:35+00:00,b'@GE0M1JUL @yeonjunitboyy oh that bluesg guy right i see'
2022-04-02 04:53:18+00:00,b'I wanna know what that bluesg person feeding their minions that they so up their ass\xe2\x80\xa6very freaky stuff happening over there'
2022-04-01 23:52:29+00:00,b'And how about we mass report bluesg till they get sspnded\xf0\x9f\xa7\x90\xf0\x9f\xa4\xa9 https://t.co/x0EPo51ivj'
2022-03-28 15:37:31+00:00,b'BlueSG Tutorial \xe2\x80\x93 Card Pairing &amp;\xc2\xa0Rental https://t.co/JLojAprcuE'
2022-03-27 10:07:23+00:00,"b'@DarcyDs @KX84820981 @YouTube @LTAsg If you ignore the blue SG chargers, you also ignore the 700 BlueSG EVs, so it doesn\xe2\x80\x99t dramatically change the equation'"
